year,author,method,reportScore,methodsScore
2010,Kataoka Y,CCO,100,100
2010,Kober L,CCO,100,100
2010,Kuo Chuei-Wen,CCO,100,100
2010,Lagarde E,CCO,100,100
2010,Lai Mei-Shu,CCO,100,100
2010,Laumon B,CCO,100,100
2010,Lee Chang-Hsing,CCO,100,100
2010,Leufkens HG,CCO,100,100
2010,Magalhaes AC,CCO,100,100
2010,Martins IS,CCO,100,100
2010,Mascarenhas LA,CCO,100,100
2010,Matsumoto J,CCO,100,100
2010,Michaud L,CCO,100,100
2010,Moreira BM,CCO,100,100
2010,Mouterde O,CCO,100,100
2010,Nouer SA,CCO,100,100
2010,Olesen JB,CCO,100,50
2010,Oliveira S,CCO,100,100
2010,Orriols L,CCO,100,100
2010,Pellegrino FL,CCO,100,100
2010,Poulsen HE,CCO,100,100
2010,Poulsen HE,CCO,100,50
2010,Rasmussen JN,CCO,100,100
2010,Rasmussen S,CCO,100,100
2010,Salmi LR,CCO,100,100
2010,Santos Mda,CCO,100,100
2010,Schelleman H,CCO,100,100
2010,Schneeweiss S,CCO,100,100
2010,Schramm TK,CCO,100,100
2010,Schweizer RC,CCO,100,100
2010,Shau Wen-Yi,CCO,100,100
2010,Shrank WH,CCO,100,100
2010,Shuto H,CCO,100,100
2010,Sorensen R,CCO,100,100
2010,Souverein PC,CCO,100,100
2010,Torp-Pedersen C,CCO,100,100
2010,Tricotel A,CCO,100,100
2010,van Solinge WW,CCO,100,100
2010,Vasques MR,CCO,100,100
2010,Velthove KJ,CCO,100,100
2010,Wan F,CCO,100,100
2010,Wang Jung-Der,CCO,100,100
2010,Weeke P,CCO,100,50
2010,Yanagawa T,CCO,100,100
2010,Baggs JM,SCCS,50,100
2010,Broder KR,SCCS,50,100
2010,Dugdale S,SCCS,0,100
2010,Evans SJ,SCCS,0,100
2010,Gargiullo PM,SCCS,50,100
2010,Gilbert R,SCCS,0,100
2010,Gold M,SCCS,0,100
2010,Huang Wan-Ting,SCCS,50,100
2010,Iskander JK,SCCS,50,100
2010,Klein NP,SCCS,50,100
2010,McCaul KA,SCCS,0,100
2010,Nazareth I,SCCS,0,100
2010,Petersen I,SCCS,0,100
2010,Ridolfi A,SCCS,0,100
2010,Weintraub ES,SCCS,50,100
2010,Woodman RJ,SCCS,0,100
2011,Anderka M,CCO+CTC,100,100
2011,de Jong-van den Berg LTW,CCO+CTC,100,100
2011,Dippel DWJ,CCO+CTC,100,50
2011,Firouzian A,CCO+CTC,100,50
2011,Herings RMC,CCO+CTC,100,50
2011,Hernandez-Diaz S,CCO+CTC,100,100
2011,Mitchell A,CCO+CTC,100,100
2011,Niessen WJ,CCO+CTC,100,50
2011,Risselada R,CCO+CTC,100,50
2011,Straatman H,CCO+CTC,100,50
2011,Sturkenboom MCM,CCO+CTC,100,50
2011,Toh S,CCO+CTC,100,100
2011,van der Lugt A,CCO+CTC,100,50
2011,van Kooten F,CCO+CTC,100,50
2011,Azoulay L,CCO,100,100
2011,Belozeroff V,CCO,0,50
2011,Berard A,CCO,100,100
2011,Berry SD,CCO,100,50
2011,Castot A,CCO,100,100
2011,Chang Chia-Hsuin,CCO,100,100
2011,Chang Chia-Hsuin,CCO,100,100
2011,Chang Yoosoo,CCO,100,50
2011,Chang Yoosoo,CCO,100,100
2011,Chen Hsi-Chieh,CCO,100,100
2011,Chen Hsi-Chieh,CCO,100,100
2011,Chen Pau-Chung,CCO,100,100
2011,Chen Pau-Chung,CCO,100,100
2011,Cheng Yu-Cheng,CCO,100,50
2011,Choi Nam-Kyong,CCO,100,50
2011,Choi Nam-Kyong,CCO,100,100
2011,Choi Yu-Kyong,CCO,100,100
2011,Christakis DA,CCO,100,50
2011,Danese MD,CCO,100,50
2011,Delorme B,CCO,100,100
2011,Duke J,CCO,100,100
2011,Gadegbeku B,CCO,100,100
2011,Garrison MM,CCO,100,50
2011,Gau Susan Shur-Fen,CCO,100,50
2011,Gomes T,CCO,100,100
2011,Goodman WG,CCO,100,50
2011,Hildebrand J,CCO,100,100
2011,Horn JR,CCO,100,100
2011,Jung Sun-Young,CCO,100,50
2011,Jung Sun-Young,CCO,100,100
2011,Juurlink DN,CCO,100,100
2011,Kilpatrick RD,CCO,100,50
2011,Kim Ju-Young,CCO,100,50
2011,Kim Ju-Young,CCO,100,100
2011,Kuo Chuei-Wen,CCO,100,100
2011,Kuo Chuei-Wen,CCO,100,100
2011,Lagarde E,CCO,100,100
2011,Lai Jung-Nien,CCO,100,100
2011,Lai Mei-Shu,CCO,100,100
2011,Lai Mei-Shu,CCO,100,100
2011,Lee AH,CCO,100,100
2011,Lee Chang-Hsing,CCO,100,100
2011,Lee Chang-Hsing,CCO,100,100
2011,Lee Jin-Ho,CCO,100,100
2011,Lee Joongyub,CCO,100,50
2011,Lee Joongyub,CCO,100,100
2011,Lin Jou-Wei,CCO,100,100
2011,Lin Jou-Wei,CCO,100,100
2011,Lipsitz LA,CCO,100,50
2011,Lozano P,CCO,100,50
2011,Mallaret M,CCO,100,100
2011,Mamdani M,CCO,100,100
2011,Meuleners LB,CCO,100,100
2011,Mittleman MA,CCO,100,50
2011,Moore N,CCO,100,100
2011,Moussally K,CCO,100,100
2011,Nakhai-Pour HR,CCO,100,100
2011,Ng JQ,CCO,100,100
2011,Orriols L,CCO,100,100
2011,Palamara P,CCO,100,100
2011,Park Byung-Joo,CCO,100,50
2011,Park Byung-Joo,CCO,100,100
2011,Philip P,CCO,100,100
2011,Rothman KJ,CCO,100,50
2011,Shau Wen-Yi,CCO,100,100
