Method,Year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24,Author25,Author26,Author27,Author28,Author29,Author30,Author31,Author32,Author33,Author34,Author35
CCO,2012,Shau Wen-Yi,Chen Hsi-Chieh,Chen Shu-Ting,Chou Hsu-Wen,Chang Chia-Hsuin,Kuo Chuei-Wen,Lai Mei-Shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Smith SW,Sato M,Gore SD,Baer MR,Ke X,McNally D,Davidoff A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Wang Shirley,Linkletter C,Dore DD,Mor V,Buka S,Maclure M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Weeke P,Jensen A,Folke F,Gislason GH,Olesen JB,Andersson C,Fosbol EL,Larsen JK,Lippert FK,Nielsen SL,Gerds T,Andersen PK,Kanters JK,Poulsen HE,Pehrson S,Kober L,Torp-Pedersen C,,,,,,,,,,,,,,,,,,
CCO,2013,Berry SD,Lee Yoojin,Cai Shubing,Dore DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Berry SD,Zhu Yanyan,Choi Hyon,Kiel DP,Zhang Yuqing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Bird ST,Etminan M,Brophy JM,Hartzema AG,Delaney JAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Bjorkenstam C,Moller J,Ringback G,Salmi P,Hallqvist J,Ljung R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Choi Nam-Kyong,Lee Joongyub,Chang Yoosoo,Jung Sun-Young,Kim Ju-Young,Song HJ,Park Byung-Joo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Huang EJ,Bonafide CP,Karen R,Nadkarni VM,Holmes JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Lee Chang-Hoon,Jang Eun Jin,Hyun Min Kyung,Lee Na Rae,Kim Kyungjoo,Yim Jae-Joon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Liu Chia-Lin,Shau Wen-Yi,Chang Chia-Hsuin,Wu Chi-Shin,Lai Mei-Shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Orriols L,Foubert-Samier A,Gadegbeku B,Delorme B,Tricotel A,Philip P,Moore N,Lagarde E,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Orriols L,Wilchesky M,Lagarde E,Suissa S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Price SD,Holman CDJ,Sanfilippo FM,Emery JD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Shin Ju-Young,Choi Nam-Kyong,Jung Sun-Young,Lee Joongyub,Kwon Jun S,Park Byung-Joo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Soderberg KC,Laflamme L,Moller J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2013,Wu Chi-Shin,Wang Sheng-Chang,Gau Susan Shur-Fen,Tsai Hui-Ju,Cheng Yu-Cheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,1995,Farrington CP,Pugh S,Colville A,Flower A,Nash J,Morgan-Capner P,Rush M,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2000,Dourado I,Cunha S,Teixeira MG,Farrington CP,Melo A,Lucena R,Barreto ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2001,Andrews N,Miller E,Waight P,Farrington CP,Crowcroft NS,Stowe J,Taylor B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2001,Farrington CP,Miller E,Taylor B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2001,Kramarz P,DeStefano F,Gargiullo PM,Chen Robert T,Lieu TA,Davis RL,Mullooly JP,Black SB,Shinefield HR,Bohlke K,Ward JI,Marcy SM,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2001,Miller E,Waight P,Farrington CP,Andrews N,Stowe J,Taylor B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2001,Murphy TV,Gargiullo PM,Massoudi MS,Nelson DB,Jumaan AO,Okoro CA,Zanardi LR,Setia S,Fair E,LeBaron CW,Wharton M,Livingood JR,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2001,Sardinas MAG,Cardenas AZ,Marie GC,Pena MS,Santiago MA,Sanchez MV,Farrington CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2003,Hubbard R,Farrington CP,Smith C,Smeeth L,Tattersfield A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2003,Miller E,Andrews N,Waight P,Taylor B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2003,Tata LJ,West J,Harrison T,Farrington CP,Smith C,Hubbard R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2004,Mutsch M,Zhou W,Rhodes P,Bopp M,Chen Robert T,Linder T,Spyr C,Steffen R,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2004,Smeeth L,Thomas SL,Hall AJ,Hubbard R,Farrington CP,Vallance P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2005,Ali M,Canh Gia D,Clemens JD,Park JK,von Seidlein L,Minh TT,Thiem DV,Tho HL,Trach DD,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2005,Hubbard R,Lewis S,Smith C,Godfrey C,Smeeth L,Farrington CP,Britton J,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2005,Hubbard R,Lewis S,West J,Smith C,Godfrey C,Smeeth L,Farrington CP,Britton J,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2005,Tata LJ,Fortun PJ,Hubbard R,Smeeth L,Hawkey CJ,Smith C,Whitaker HJ,Farrington CP,Card T,West J,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2005,Tata LJ,West J,Smith C,Farrington CP,Card T,Smeeth L,Hubbard R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2006,Cameron JC,Walsh D,Finlayson AR,Boyd JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2006,Hughes RA,Charlton J,Latinovic R,Gulliford MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
